Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
630,Supply Chain,cold_chain,Thévenot,Roger,A History of Refrigeration Throughout the World,1979,International Institute of Refrigeration,BOOK,multi,spanning,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Th%C3%A9venot+A+History+of+Refrigeration+Throughout+the+World,https://archive.org/search?query=Th%C3%A9venot+A+History+of+Refrigeration+Throughout+the+World,,Thévenot A History of Refrigeration Throughout the World
631,Supply Chain,cold_chain,Friedberg,Susanne,French Beans and Food Scares: Culture and Commerce in an Anxious Age,2004,Oxford UP,BOOK,produce,1980_2010,Europe,HIGH,NEEDED,,https://annas-archive.org/search?q=Friedberg+French+Beans+and+Food+Scares%3A+Culture+and+Commerce+in+an+Anxious+Age,https://archive.org/search?query=Friedberg+French+Beans+and+Food+Scares%3A+Culture+and+Commerce+in+an+Anxious+Age,,Friedberg French Beans and Food Scares: Culture and Commerce in an Anxious Age
632,Supply Chain,supermarket_logistics,Lichtenstein,Nelson,The Retail Revolution: How Wal-Mart Created a Brave New World of Business,2009,Metropolitan,BOOK,multi,1980_2010,US,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Lichtenstein+The+Retail+Revolution%3A+How+Wal-Mart+Created+a+Brave+New+World+of+Business,https://archive.org/search?query=Lichtenstein+The+Retail+Revolution%3A+How+Wal-Mart+Created+a+Brave+New+World+of+Business,,Lichtenstein The Retail Revolution: How Wal-Mart Created a Brave New World of Business
633,Supply Chain,supermarket_logistics,Reardon,Thomas,"The Rise of Supermarkets in Africa, Asia, and Latin America",2003,AJAE,ARTICLE,multi,1980_2010,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Reardon+The+Rise+of+Supermarkets+in+Africa%2C+Asia%2C+and+Latin+America,https://archive.org/search?query=Reardon+The+Rise+of+Supermarkets+in+Africa%2C+Asia%2C+and+Latin+America,,"Reardon The Rise of Supermarkets in Africa, Asia, and Latin America"
634,Supply Chain,supermarket_logistics,Reardon,Thomas,"The Transformation of Agri-Food Systems: Globalization, Supply Chains, and Smallholder Farmers",2007,Earthscan,BOOK,multi,1980_2010,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Reardon+The+Transformation+of+Agri-Food+Systems%3A+Globalization%2C+Supply+Chains%2C+and+Smallholder+Farmers,https://archive.org/search?query=Reardon+The+Transformation+of+Agri-Food+Systems%3A+Globalization%2C+Supply+Chains%2C+and+Smallholder+Farmers,,"Reardon The Transformation of Agri-Food Systems: Globalization, Supply Chains, and Smallholder Farmers"
635,Supply Chain,supermarket_logistics,Walmart,,Walmart Annual Report 2024,2024,Walmart,GOV_DOC,multi,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Walmart+Walmart+Annual+Report+2024,https://archive.org/search?query=Walmart+Walmart+Annual+Report+2024,https://corporate.walmart.com/purpose/annual-reports,Walmart Walmart Annual Report 2024
636,Supply Chain,pandemic_supply,Reardon,Thomas,The Processed Food Revolution in African Food Systems and the Double Burden of Malnutrition,2021,Global Food Security,ARTICLE,multi,2020_present,Africa,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Reardon+The+Processed+Food+Revolution+in+African+Food+Systems+and+the+Double+Burden+of+Malnutrition,https://archive.org/search?query=Reardon+The+Processed+Food+Revolution+in+African+Food+Systems+and+the+Double+Burden+of+Malnutrition,,Reardon The Processed Food Revolution in African Food Systems and the Double Burden of Malnutrition
637,Supply Chain,pandemic_supply,Hobbs,Jill E.,Food Supply Chains During the COVID-19 Pandemic,2020,Canadian J Ag Econ,ARTICLE,multi,2020_present,US_Global,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Hobbs+Food+Supply+Chains+During+the+COVID-19+Pandemic,https://archive.org/search?query=Hobbs+Food+Supply+Chains+During+the+COVID-19+Pandemic,https://doi.org/10.1111/cjag.12237,Hobbs Food Supply Chains During the COVID-19 Pandemic
638,Supply Chain,pandemic_supply,Barman,Arindam,COVID-19 and the Food Supply Chain: A Comprehensive Review,2021,Int J Logistics Research,ARTICLE,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Barman+COVID-19+and+the+Food+Supply+Chain%3A+A+Comprehensive+Review,https://archive.org/search?query=Barman+COVID-19+and+the+Food+Supply+Chain%3A+A+Comprehensive+Review,,Barman COVID-19 and the Food Supply Chain: A Comprehensive Review
639,Supply Chain,pandemic_supply,Reardon,Thomas,Pivoting by Food Industry Firms to Cope with COVID-19,2021,Ag Econ,ARTICLE,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Reardon+Pivoting+by+Food+Industry+Firms+to+Cope+with+COVID-19,https://archive.org/search?query=Reardon+Pivoting+by+Food+Industry+Firms+to+Cope+with+COVID-19,,Reardon Pivoting by Food Industry Firms to Cope with COVID-19
640,Supply Chain,trucking,Belzer,Michael H.,Sweatshops on Wheels: Winners and Losers in Trucking Deregulation,2000,Oxford UP,BOOK,multi,1980_2010,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Belzer+Sweatshops+on+Wheels%3A+Winners+and+Losers+in+Trucking+Deregulation,https://archive.org/search?query=Belzer+Sweatshops+on+Wheels%3A+Winners+and+Losers+in+Trucking+Deregulation,,Belzer Sweatshops on Wheels: Winners and Losers in Trucking Deregulation
641,Supply Chain,container_shipping,Jin,Yue,Container Freight Rates and the World Food Supply Chain 2020-2024,2024,Maritime Economics & Logistics,ARTICLE,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Jin+Container+Freight+Rates+and+the+World+Food+Supply+Chain+2020-2024,https://archive.org/search?query=Jin+Container+Freight+Rates+and+the+World+Food+Supply+Chain+2020-2024,,Jin Container Freight Rates and the World Food Supply Chain 2020-2024
642,Supply Chain,rail_history,Chandler,Alfred D.,The Visible Hand: The Managerial Revolution in American Business,1977,Harvard UP,BOOK,none,pre1900,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Chandler+The+Visible+Hand%3A+The+Managerial+Revolution+in+American+Business,https://archive.org/search?query=Chandler+The+Visible+Hand%3A+The+Managerial+Revolution+in+American+Business,,Chandler The Visible Hand: The Managerial Revolution in American Business
643,Supply Chain,cold_chain,Mercado,Stephen,Cold Chain Investment and Food Loss,2020,Food Policy,ARTICLE,multi,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Mercado+Cold+Chain+Investment+and+Food+Loss,https://archive.org/search?query=Mercado+Cold+Chain+Investment+and+Food+Loss,,Mercado Cold Chain Investment and Food Loss
644,Supply Chain,supermarket_logistics,Bonnano,Alessandro,Globalization of Agriculture and Food,1994,U Kansas Press,BOOK,multi,1980_2010,Global,LOW,NEEDED,,https://annas-archive.org/search?q=Bonnano+Globalization+of+Agriculture+and+Food,https://archive.org/search?query=Bonnano+Globalization+of+Agriculture+and+Food,,Bonnano Globalization of Agriculture and Food
645,Supply Chain,pandemic_supply,Ifft,Jennifer,Effects of COVID-19 on US Agriculture,2021,Applied Econ Perspectives & Policy,ARTICLE,multi,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Ifft+Effects+of+COVID-19+on+US+Agriculture,https://archive.org/search?query=Ifft+Effects+of+COVID-19+on+US+Agriculture,,Ifft Effects of COVID-19 on US Agriculture
646,Supply Chain,trucking,USDA,,US Agricultural Trucking and Rail Capacity,2023,USDA AMS,REPORT,multi,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+US+Agricultural+Trucking+and+Rail+Capacity,https://archive.org/search?query=USDA+US+Agricultural+Trucking+and+Rail+Capacity,https://www.ams.usda.gov/services/transportation-analysis,USDA US Agricultural Trucking and Rail Capacity
647,Supply Chain,container_shipping,Drewry,,Global Container Shipping Annual Review 2024,2024,Drewry,REPORT,multi,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Drewry+Global+Container+Shipping+Annual+Review+2024,https://archive.org/search?query=Drewry+Global+Container+Shipping+Annual+Review+2024,,Drewry Global Container Shipping Annual Review 2024
648,Supply Chain,pandemic_supply,Stevens,Andrew W.,The Economic Effects of COVID-19 on Specialty Crop and Vegetable Markets,2021,Applied Econ Perspectives & Policy,ARTICLE,produce,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Stevens+The+Economic+Effects+of+COVID-19+on+Specialty+Crop+and+Vegetable+Markets,https://archive.org/search?query=Stevens+The+Economic+Effects+of+COVID-19+on+Specialty+Crop+and+Vegetable+Markets,,Stevens The Economic Effects of COVID-19 on Specialty Crop and Vegetable Markets
649,Supply Chain,cold_chain,James,Stephen,"Cold Chains, Energy and Food Waste in the Supply Chain",2010,Applied Energy,ARTICLE,multi,1980_2010,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=James+Cold+Chains%2C+Energy+and+Food+Waste+in+the+Supply+Chain,https://archive.org/search?query=James+Cold+Chains%2C+Energy+and+Food+Waste+in+the+Supply+Chain,,"James Cold Chains, Energy and Food Waste in the Supply Chain"
650,Supply Chain,supermarket_logistics,Konefal,Jason,"Mass Production, Globalization, and the Transformation of Food Retailing",2005,in Ag Biotech in Transition,CHAPTER,multi,1980_2010,US_Global,LOW,NEEDED,,https://annas-archive.org/search?q=Konefal+Mass+Production%2C+Globalization%2C+and+the+Transformation+of+Food+Retailing,https://archive.org/search?query=Konefal+Mass+Production%2C+Globalization%2C+and+the+Transformation+of+Food+Retailing,,"Konefal Mass Production, Globalization, and the Transformation of Food Retailing"
651,Supply Chain,rail_history,Cronon,William,Pricing the Future: Grain,1991,(chapter in Nature's Metropolis),CHAPTER,cereals,pre1900,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cronon+Pricing+the+Future%3A+Grain,https://archive.org/search?query=Cronon+Pricing+the+Future%3A+Grain,,Cronon Pricing the Future: Grain
652,Supply Chain,trucking,Viscelli,Steve,The Big Rig: Trucking and the Decline of the American Dream,2016,UC Press,BOOK,multi,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Viscelli+The+Big+Rig%3A+Trucking+and+the+Decline+of+the+American+Dream,https://archive.org/search?query=Viscelli+The+Big+Rig%3A+Trucking+and+the+Decline+of+the+American+Dream,,Viscelli The Big Rig: Trucking and the Decline of the American Dream
653,Supply Chain,container_shipping,IMO,,International Maritime Organization Statistics: Reefer Shipping 2024,2024,IMO,DATASET_DOC,multi,2020_present,Global,LOW,NEEDED,,https://annas-archive.org/search?q=IMO+International+Maritime+Organization+Statistics%3A+Reefer+Shipping+2024,https://archive.org/search?query=IMO+International+Maritime+Organization+Statistics%3A+Reefer+Shipping+2024,,IMO International Maritime Organization Statistics: Reefer Shipping 2024
654,Supply Chain,pandemic_supply,Saitone,Tina L.,Food Supply Chains Under COVID-19,2022,Annual Review of Resource Economics,ARTICLE,multi,2020_present,US_Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Saitone+Food+Supply+Chains+Under+COVID-19,https://archive.org/search?query=Saitone+Food+Supply+Chains+Under+COVID-19,,Saitone Food Supply Chains Under COVID-19
655,Supply Chain,supermarket_logistics,Kalaitzandonakes,Nicholas,Vertical Coordination in the Food Industry,2018,Applied Econ Perspectives & Policy,ARTICLE,multi,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Kalaitzandonakes+Vertical+Coordination+in+the+Food+Industry,https://archive.org/search?query=Kalaitzandonakes+Vertical+Coordination+in+the+Food+Industry,,Kalaitzandonakes Vertical Coordination in the Food Industry
656,Retail Grocery,chain_era,Levinson,Marc,The Great A&P and the Struggle for Small Business in America,2011,Hill and Wang,BOOK,multi,1900_1945,US,FLAGSHIP,NEEDED,Flagship Cat 18,https://annas-archive.org/search?q=Levinson+The+Great+A%26P+and+the+Struggle+for+Small+Business+in+America,https://archive.org/search?query=Levinson+The+Great+A%26P+and+the+Struggle+for+Small+Business+in+America,,Levinson The Great A&P and the Struggle for Small Business in America
657,Retail Grocery,chain_era,Deutsch,Tracey,"Building a Housewife's Paradise: Gender, Politics, and American Grocery Stores",2010,UNC Press,BOOK,multi,1900_1945,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Deutsch+Building+a+Housewife%27s+Paradise%3A+Gender%2C+Politics%2C+and+American+Grocery+Stores,https://archive.org/search?query=Deutsch+Building+a+Housewife%27s+Paradise%3A+Gender%2C+Politics%2C+and+American+Grocery+Stores,,"Deutsch Building a Housewife's Paradise: Gender, Politics, and American Grocery Stores"
658,Retail Grocery,chain_era,Mayo,James M.,The American Grocery Store: The Business Evolution of an Architectural Space,1993,Greenwood,BOOK,multi,pre1900,US,LOW,NEEDED,,https://annas-archive.org/search?q=Mayo+The+American+Grocery+Store%3A+The+Business+Evolution+of+an+Architectural+Space,https://archive.org/search?query=Mayo+The+American+Grocery+Store%3A+The+Business+Evolution+of+an+Architectural+Space,,Mayo The American Grocery Store: The Business Evolution of an Architectural Space
659,Retail Grocery,supermarket_rise,Hamilton,Shane,Supermarket USA: Food and Power in the Cold War Farms Race,2018,Yale UP,BOOK,multi,1945_1980,US_Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Hamilton+Supermarket+USA%3A+Food+and+Power+in+the+Cold+War+Farms+Race,https://archive.org/search?query=Hamilton+Supermarket+USA%3A+Food+and+Power+in+the+Cold+War+Farms+Race,,Hamilton Supermarket USA: Food and Power in the Cold War Farms Race
660,Retail Grocery,supermarket_rise,Zimmerman,Max M.,The Super Market: A Revolution in Distribution,1955,McGraw-Hill,BOOK,multi,1945_1980,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Zimmerman+The+Super+Market%3A+A+Revolution+in+Distribution,https://archive.org/search?query=Zimmerman+The+Super+Market%3A+A+Revolution+in+Distribution,,Zimmerman The Super Market: A Revolution in Distribution
661,Retail Grocery,supermarket_rise,Ellickson,Paul B.,The Evolution of the Supermarket Industry: From A&P to Walmart,2016,in Handbook on the Economics of Retailing,CHAPTER,multi,spanning,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Ellickson+The+Evolution+of+the+Supermarket+Industry%3A+From+A%26P+to+Walmart,https://archive.org/search?query=Ellickson+The+Evolution+of+the+Supermarket+Industry%3A+From+A%26P+to+Walmart,,Ellickson The Evolution of the Supermarket Industry: From A&P to Walmart
662,Retail Grocery,walmart,Fishman,Charles,The Wal-Mart Effect,2006,Penguin,BOOK,multi,1980_2010,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Fishman+The+Wal-Mart+Effect,https://archive.org/search?query=Fishman+The+Wal-Mart+Effect,,Fishman The Wal-Mart Effect
663,Retail Grocery,walmart,Basker,Emek,The Causes and Consequences of Wal-Mart's Growth,2007,J Economic Perspectives,ARTICLE,multi,1980_2010,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Basker+The+Causes+and+Consequences+of+Wal-Mart%27s+Growth,https://archive.org/search?query=Basker+The+Causes+and+Consequences+of+Wal-Mart%27s+Growth,https://doi.org/10.1257/jep.21.3.177,Basker The Causes and Consequences of Wal-Mart's Growth
664,Retail Grocery,walmart,Volpe,Richard,Walmart's Effect on the Supply of Low-Price Food Products,2014,AJAE,ARTICLE,multi,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Volpe+Walmart%27s+Effect+on+the+Supply+of+Low-Price+Food+Products,https://archive.org/search?query=Volpe+Walmart%27s+Effect+on+the+Supply+of+Low-Price+Food+Products,,Volpe Walmart's Effect on the Supply of Low-Price Food Products
665,Retail Grocery,amazon_whole_foods,Cachon,Gérard P.,Retail on Amazon: New Insights Into Online Commerce,2023,Management Science,ARTICLE,multi,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cachon+Retail+on+Amazon%3A+New+Insights+Into+Online+Commerce,https://archive.org/search?query=Cachon+Retail+on+Amazon%3A+New+Insights+Into+Online+Commerce,,Cachon Retail on Amazon: New Insights Into Online Commerce
666,Retail Grocery,amazon_whole_foods,Hortacsu,Ali,The Geography of Retail,2015,NBER WP,WORKING_PAPER,none,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Hortacsu+The+Geography+of+Retail,https://archive.org/search?query=Hortacsu+The+Geography+of+Retail,,Hortacsu The Geography of Retail
667,Retail Grocery,food_deserts,Allcott,Hunt,Food Deserts and the Causes of Nutritional Inequality,2019,QJE,ARTICLE,multi,2010_2020,US,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Allcott+Food+Deserts+and+the+Causes+of+Nutritional+Inequality,https://archive.org/search?query=Allcott+Food+Deserts+and+the+Causes+of+Nutritional+Inequality,https://doi.org/10.1093/qje/qjz015,Allcott Food Deserts and the Causes of Nutritional Inequality
668,Retail Grocery,food_deserts,USDA ERS,,Food Access Research Atlas Documentation,2024,USDA ERS,DATASET_DOC,none,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+ERS+Food+Access+Research+Atlas+Documentation,https://archive.org/search?query=USDA+ERS+Food+Access+Research+Atlas+Documentation,https://www.ers.usda.gov/data-products/food-access-research-atlas/,USDA ERS Food Access Research Atlas Documentation
669,Retail Grocery,food_deserts,Wright,Joshua,Food Deserts in America: A Research Synthesis,2016,USDA ERS,REPORT,none,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Wright+Food+Deserts+in+America%3A+A+Research+Synthesis,https://archive.org/search?query=Wright+Food+Deserts+in+America%3A+A+Research+Synthesis,,Wright Food Deserts in America: A Research Synthesis
670,Retail Grocery,dollar_stores,Caoui,El Hadi,The Rise of Dollar Stores and Food Access,2023,Review of Economics and Statistics,ARTICLE,none,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Caoui+The+Rise+of+Dollar+Stores+and+Food+Access,https://archive.org/search?query=Caoui+The+Rise+of+Dollar+Stores+and+Food+Access,,Caoui The Rise of Dollar Stores and Food Access
671,Retail Grocery,kroger_albertsons,FTC,,FTC Challenges Kroger-Albertsons Merger: Filings,2024,FTC,GOV_DOC,none,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=FTC+FTC+Challenges+Kroger-Albertsons+Merger%3A+Filings,https://archive.org/search?query=FTC+FTC+Challenges+Kroger-Albertsons+Merger%3A+Filings,https://www.ftc.gov/news-events/news/press-releases/2024/02/ftc-challenges-krogers-acquisition-albertsons,FTC FTC Challenges Kroger-Albertsons Merger: Filings
672,Retail Grocery,kroger_albertsons,Hovhannisyan,Vardges,Potential Effects of the Kroger-Albertsons Merger on Food Prices,2024,Choices Magazine,ARTICLE,multi,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Hovhannisyan+Potential+Effects+of+the+Kroger-Albertsons+Merger+on+Food+Prices,https://archive.org/search?query=Hovhannisyan+Potential+Effects+of+the+Kroger-Albertsons+Merger+on+Food+Prices,,Hovhannisyan Potential Effects of the Kroger-Albertsons Merger on Food Prices
673,Retail Grocery,meal_kits,Mintel,,US Meal Kit Market Report 2023,2023,Mintel,REPORT,multi,2020_present,US,LOW,NEEDED,,https://annas-archive.org/search?q=Mintel+US+Meal+Kit+Market+Report+2023,https://archive.org/search?query=Mintel+US+Meal+Kit+Market+Report+2023,,Mintel US Meal Kit Market Report 2023
674,Retail Grocery,instant_grocery,Fisher,Marshall L.,The Unit Economics of Instant Grocery Delivery,2023,MIT Sloan Review,ARTICLE,none,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Fisher+The+Unit+Economics+of+Instant+Grocery+Delivery,https://archive.org/search?query=Fisher+The+Unit+Economics+of+Instant+Grocery+Delivery,,Fisher The Unit Economics of Instant Grocery Delivery
675,Retail Grocery,supermarket_rise,Humphery,Kim,Shelf Life: Supermarkets and the Changing Cultures of Consumption,1998,Cambridge UP,BOOK,multi,1980_2010,Global,LOW,NEEDED,,https://annas-archive.org/search?q=Humphery+Shelf+Life%3A+Supermarkets+and+the+Changing+Cultures+of+Consumption,https://archive.org/search?query=Humphery+Shelf+Life%3A+Supermarkets+and+the+Changing+Cultures+of+Consumption,,Humphery Shelf Life: Supermarkets and the Changing Cultures of Consumption
676,Retail Grocery,chain_era,Bean,Jonathan J.,"Beyond the Broker State: Federal Policies Toward Small Business, 1936-1961",1996,UNC Press,BOOK,none,1900_1945,US,LOW,NEEDED,,https://annas-archive.org/search?q=Bean+Beyond+the+Broker+State%3A+Federal+Policies+Toward+Small+Business%2C+1936-1961,https://archive.org/search?query=Bean+Beyond+the+Broker+State%3A+Federal+Policies+Toward+Small+Business%2C+1936-1961,,"Bean Beyond the Broker State: Federal Policies Toward Small Business, 1936-1961"
677,Retail Grocery,walmart,Goetz,Stephan J.,WalMart and Obesity,2009,Social Science Quarterly,ARTICLE,multi,1980_2010,US,LOW,NEEDED,,https://annas-archive.org/search?q=Goetz+WalMart+and+Obesity,https://archive.org/search?query=Goetz+WalMart+and+Obesity,,Goetz WalMart and Obesity
678,Retail Grocery,food_deserts,Weatherspoon,Dave,The Impact of a Nutritionally-Enhanced Supermarket on Household Food Purchases,2013,Applied Econ Perspectives & Policy,ARTICLE,none,2010_2020,US,LOW,NEEDED,,https://annas-archive.org/search?q=Weatherspoon+The+Impact+of+a+Nutritionally-Enhanced+Supermarket+on+Household+Food+Purchases,https://archive.org/search?query=Weatherspoon+The+Impact+of+a+Nutritionally-Enhanced+Supermarket+on+Household+Food+Purchases,,Weatherspoon The Impact of a Nutritionally-Enhanced Supermarket on Household Food Purchases
679,Retail Grocery,amazon_whole_foods,Derstine,Charles,Amazon's Whole Foods Acquisition: Four Years Later,2021,J Retailing,ARTICLE,multi,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Derstine+Amazon%27s+Whole+Foods+Acquisition%3A+Four+Years+Later,https://archive.org/search?query=Derstine+Amazon%27s+Whole+Foods+Acquisition%3A+Four+Years+Later,,Derstine Amazon's Whole Foods Acquisition: Four Years Later
680,Retail Grocery,dollar_stores,Chenarides,Lauren,Dollar Stores and Food Deserts: A Dual Role?,2021,Applied Econ Perspectives & Policy,ARTICLE,none,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Chenarides+Dollar+Stores+and+Food+Deserts%3A+A+Dual+Role%3F,https://archive.org/search?query=Chenarides+Dollar+Stores+and+Food+Deserts%3A+A+Dual+Role%3F,,Chenarides Dollar Stores and Food Deserts: A Dual Role?
681,Food Ag Labor,meatpacking_labor,Pachirat,Timothy,Every Twelve Seconds: Industrialized Slaughter and the Politics of Sight,2011,Yale UP,BOOK,meat,2010_2020,US,FLAGSHIP,NEEDED,Flagship Cat 19,https://annas-archive.org/search?q=Pachirat+Every+Twelve+Seconds%3A+Industrialized+Slaughter+and+the+Politics+of+Sight,https://archive.org/search?query=Pachirat+Every+Twelve+Seconds%3A+Industrialized+Slaughter+and+the+Politics+of+Sight,,Pachirat Every Twelve Seconds: Industrialized Slaughter and the Politics of Sight
682,Food Ag Labor,meatpacking_labor,Sinclair,Upton,The Jungle,1906,Doubleday,BOOK,meat,pre1900,US,HIGH,NEEDED,Foundational muckraking,https://annas-archive.org/search?q=Sinclair+The+Jungle,https://archive.org/search?query=Sinclair+The+Jungle,,Sinclair The Jungle
683,Food Ag Labor,meatpacking_labor,Stull,Donald D.,Any Way You Cut It: Meat Processing and Small-Town America,1995,U Kansas Press,BOOK,meat,1980_2010,US,HIGH,NEEDED,"With Broadway, Griffith",https://annas-archive.org/search?q=Stull+Any+Way+You+Cut+It%3A+Meat+Processing+and+Small-Town+America,https://archive.org/search?query=Stull+Any+Way+You+Cut+It%3A+Meat+Processing+and+Small-Town+America,,Stull Any Way You Cut It: Meat Processing and Small-Town America
684,Food Ag Labor,meatpacking_labor,Stuesse,Angela,"Scratching Out a Living: Latinos, Race, and Work in the Deep South",2016,UC Press,BOOK,meat,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Stuesse+Scratching+Out+a+Living%3A+Latinos%2C+Race%2C+and+Work+in+the+Deep+South,https://archive.org/search?query=Stuesse+Scratching+Out+a+Living%3A+Latinos%2C+Race%2C+and+Work+in+the+Deep+South,,"Stuesse Scratching Out a Living: Latinos, Race, and Work in the Deep South"
685,Food Ag Labor,farmworker,Martin,Philip L.,"Promise Unfulfilled: Unions, Immigration, and the Farm Workers",2003,Cornell UP,BOOK,produce,1980_2010,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Martin+Promise+Unfulfilled%3A+Unions%2C+Immigration%2C+and+the+Farm+Workers,https://archive.org/search?query=Martin+Promise+Unfulfilled%3A+Unions%2C+Immigration%2C+and+the+Farm+Workers,,"Martin Promise Unfulfilled: Unions, Immigration, and the Farm Workers"
686,Food Ag Labor,farmworker,Cohen,Deborah,Braceros: Migrant Citizens and Transnational Subjects in the Postwar United States and Mexico,2011,UNC Press,BOOK,produce,1945_1980,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Cohen+Braceros%3A+Migrant+Citizens+and+Transnational+Subjects+in+the+Postwar+United+States+and+Mexico,https://archive.org/search?query=Cohen+Braceros%3A+Migrant+Citizens+and+Transnational+Subjects+in+the+Postwar+United+States+and+Mexico,,Cohen Braceros: Migrant Citizens and Transnational Subjects in the Postwar United States and Mexico
687,Food Ag Labor,farmworker,Holmes,Seth M.,"Fresh Fruit, Broken Bodies: Migrant Farmworkers in the United States",2013,UC Press,BOOK,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Holmes+Fresh+Fruit%2C+Broken+Bodies%3A+Migrant+Farmworkers+in+the+United+States,https://archive.org/search?query=Holmes+Fresh+Fruit%2C+Broken+Bodies%3A+Migrant+Farmworkers+in+the+United+States,,"Holmes Fresh Fruit, Broken Bodies: Migrant Farmworkers in the United States"
688,Food Ag Labor,farmworker,Ganz,Marshall,"Why David Sometimes Wins: Leadership, Organization, and Strategy in the California Farm Worker Movement",2009,Oxford UP,BOOK,produce,1945_1980,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Ganz+Why+David+Sometimes+Wins%3A+Leadership%2C+Organization%2C+and+Strategy+in+the+California+Farm+Worker+Movement,https://archive.org/search?query=Ganz+Why+David+Sometimes+Wins%3A+Leadership%2C+Organization%2C+and+Strategy+in+the+California+Farm+Worker+Movement,,"Ganz Why David Sometimes Wins: Leadership, Organization, and Strategy in the California Farm Worker Movement"
689,Food Ag Labor,farmworker,Garcia y Griego,Manuel,"The Importation of Mexican Contract Laborers to the US, 1942-1964",1996,in Between Two Worlds,CHAPTER,produce,1945_1980,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Garcia+y+Griego+The+Importation+of+Mexican+Contract+Laborers+to+the+US%2C+1942-1964,https://archive.org/search?query=Garcia+y+Griego+The+Importation+of+Mexican+Contract+Laborers+to+the+US%2C+1942-1964,,"Garcia y Griego The Importation of Mexican Contract Laborers to the US, 1942-1964"
690,Food Ag Labor,restaurant_labor,Jayaraman,Saru,Behind the Kitchen Door,2013,Cornell UP,BOOK,none,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Jayaraman+Behind+the+Kitchen+Door,https://archive.org/search?query=Jayaraman+Behind+the+Kitchen+Door,,Jayaraman Behind the Kitchen Door
691,Food Ag Labor,restaurant_labor,Jayaraman,Saru,Forked: A New Standard for American Dining,2016,Oxford UP,BOOK,none,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Jayaraman+Forked%3A+A+New+Standard+for+American+Dining,https://archive.org/search?query=Jayaraman+Forked%3A+A+New+Standard+for+American+Dining,,Jayaraman Forked: A New Standard for American Dining
